,Inputs,Outputs,Output Class,Inputs 0,Inputs 1,Inputs 2,Inputs 3,Inputs 4
106,"[8, 5, 1, 3, 3]",1.5,2,8,5,1,3,3
107,"[6, 10, 4, 8, 9]",4.5,8,6,10,4,8,9
108,"[10, 7, 3, 1, 4]",2.0,3,10,7,3,1,4
109,"[4, 5, 2, 9, 7]",3.5,6,4,5,2,9,7
110,"[10, 5, 6, 3, 3]",1.5,2,10,5,6,3,3
111,"[7, 3, 7, 3, 9]",4.5,8,7,3,7,3,9
112,"[6, 2, 2, 10, 3]",1.5,2,6,2,2,10,3
113,"[8, 9, 1, 2, 9]",4.5,8,8,9,1,2,9
114,"[7, 6, 1, 7, 8]",4.0,7,7,6,1,7,8
115,"[6, 8, 2, 1, 2]",1.0,1,6,8,2,1,2
116,"[6, 1, 10, 7, 4]",2.0,3,6,1,10,7,4
117,"[1, 2, 2, 10, 10]",5.0,10,1,2,2,10,10
118,"[1, 5, 6, 5, 10]",5.0,10,1,5,6,5,10
119,"[10, 6, 10, 2, 8]",4.0,7,10,6,10,2,8
120,"[4, 5, 2, 6, 4]",2.0,3,4,5,2,6,4
121,"[1, 3, 9, 10, 9]",4.5,8,1,3,9,10,9
122,"[7, 6, 9, 8, 3]",1.5,2,7,6,9,8,3
123,"[1, 5, 8, 4, 3]",1.5,2,1,5,8,4,3
124,"[7, 10, 9, 9, 2]",1.0,1,7,10,9,9,2
125,"[2, 6, 4, 3, 8]",4.0,7,2,6,4,3,8
126,"[7, 2, 7, 2, 10]",5.0,10,7,2,7,2,10
127,"[9, 8, 10, 7, 8]",4.0,7,9,8,10,7,8
128,"[8, 4, 7, 5, 4]",2.0,3,8,4,7,5,4
129,"[10, 7, 9, 3, 9]",4.5,8,10,7,9,3,9
130,"[10, 10, 6, 1, 7]",3.5,6,10,10,6,1,7
131,"[2, 10, 5, 7, 8]",4.0,7,2,10,5,7,8
132,"[10, 10, 4, 1, 8]",4.0,7,10,10,4,1,8
133,"[3, 1, 4, 10, 4]",2.0,3,3,1,4,10,4
134,"[9, 10, 10, 10, 10]",5.0,10,9,10,10,10,10
135,"[4, 9, 8, 6, 6]",3.0,5,4,9,8,6,6
136,"[4, 4, 9, 5, 10]",5.0,10,4,4,9,5,10
137,"[3, 2, 8, 2, 7]",3.5,6,3,2,8,2,7
138,"[2, 10, 8, 3, 1]",0.5,0,2,10,8,3,1
139,"[8, 6, 10, 10, 2]",1.0,1,8,6,10,10,2
140,"[8, 8, 10, 3, 7]",3.5,6,8,8,10,3,7
141,"[7, 9, 3, 3, 9]",4.5,8,7,9,3,3,9
142,"[9, 7, 3, 9, 3]",1.5,2,9,7,3,9,3
143,"[1, 6, 4, 5, 10]",5.0,10,1,6,4,5,10
144,"[5, 7, 7, 6, 1]",0.5,0,5,7,7,6,1
145,"[1, 7, 4, 7, 5]",2.5,4,1,7,4,7,5
146,"[8, 8, 5, 6, 10]",5.0,10,8,8,5,6,10
147,"[8, 9, 3, 5, 1]",0.5,0,8,9,3,5,1
148,"[7, 8, 7, 6, 5]",2.5,4,7,8,7,6,5
149,"[9, 5, 1, 3, 3]",1.5,2,9,5,1,3,3
150,"[3, 1, 9, 5, 1]",0.5,0,3,1,9,5,1
151,"[7, 2, 9, 7, 2]",1.0,1,7,2,9,7,2
152,"[5, 1, 2, 8, 4]",2.0,3,5,1,2,8,4
153,"[7, 8, 10, 1, 8]",4.0,7,7,8,10,1,8
154,"[6, 3, 3, 1, 1]",0.5,0,6,3,3,1,1
155,"[9, 7, 9, 4, 9]",4.5,8,9,7,9,4,9
156,"[9, 3, 1, 4, 6]",3.0,5,9,3,1,4,6
157,"[1, 2, 8, 9, 2]",1.0,1,1,2,8,9,2
158,"[10, 8, 2, 1, 2]",1.0,1,10,8,2,1,2
159,"[1, 9, 10, 4, 6]",3.0,5,1,9,10,4,6
160,"[6, 1, 10, 6, 6]",3.0,5,6,1,10,6,6
161,"[5, 9, 3, 4, 2]",1.0,1,5,9,3,4,2
162,"[9, 5, 10, 4, 3]",1.5,2,9,5,10,4,3
163,"[2, 5, 10, 2, 6]",3.0,5,2,5,10,2,6
164,"[10, 7, 3, 1, 4]",2.0,3,10,7,3,1,4
165,"[1, 1, 7, 6, 1]",0.5,0,1,1,7,6,1
166,"[7, 7, 8, 10, 8]",4.0,7,7,7,8,10,8
167,"[1, 7, 4, 9, 10]",5.0,10,1,7,4,9,10
168,"[9, 5, 1, 5, 8]",4.0,7,9,5,1,5,8
169,"[1, 2, 2, 4, 10]",5.0,10,1,2,2,4,10
170,"[5, 3, 7, 4, 4]",2.0,3,5,3,7,4,4
171,"[1, 4, 8, 10, 6]",3.0,5,1,4,8,10,6
172,"[7, 5, 7, 10, 1]",0.5,0,7,5,7,10,1
173,"[3, 2, 2, 2, 8]",4.0,7,3,2,2,2,8
174,"[10, 1, 8, 9, 7]",3.5,6,10,1,8,9,7
175,"[1, 2, 6, 1, 7]",3.5,6,1,2,6,1,7
176,"[4, 5, 3, 2, 5]",2.5,4,4,5,3,2,5
177,"[1, 3, 5, 2, 4]",2.0,3,1,3,5,2,4
178,"[10, 9, 3, 9, 5]",2.5,4,10,9,3,9,5
179,"[4, 8, 6, 1, 6]",3.0,5,4,8,6,1,6
180,"[7, 5, 8, 4, 1]",0.5,0,7,5,8,4,1
181,"[4, 9, 5, 10, 5]",2.5,4,4,9,5,10,5
182,"[3, 10, 6, 5, 3]",1.5,2,3,10,6,5,3
183,"[4, 7, 4, 8, 10]",5.0,10,4,7,4,8,10
184,"[1, 2, 8, 5, 3]",1.5,2,1,2,8,5,3
185,"[9, 4, 10, 2, 6]",3.0,5,9,4,10,2,6
186,"[10, 8, 6, 8, 7]",3.5,6,10,8,6,8,7
187,"[7, 9, 9, 8, 3]",1.5,2,7,9,9,8,3
188,"[6, 9, 2, 7, 7]",3.5,6,6,9,2,7,7
189,"[7, 2, 9, 9, 1]",0.5,0,7,2,9,9,1
190,"[8, 9, 3, 10, 1]",0.5,0,8,9,3,10,1
191,"[1, 1, 9, 8, 5]",2.5,4,1,1,9,8,5
192,"[4, 10, 2, 4, 7]",3.5,6,4,10,2,4,7
193,"[6, 5, 3, 4, 6]",3.0,5,6,5,3,4,6
194,"[10, 8, 9, 5, 1]",0.5,0,10,8,9,5,1
195,"[2, 8, 1, 10, 6]",3.0,5,2,8,1,10,6
196,"[5, 7, 7, 4, 1]",0.5,0,5,7,7,4,1
197,"[3, 1, 5, 6, 8]",4.0,7,3,1,5,6,8
198,"[1, 9, 7, 7, 1]",0.5,0,1,9,7,7,1
199,"[10, 10, 9, 5, 9]",4.5,8,10,10,9,5,9
200,"[5, 3, 4, 3, 7]",3.5,6,5,3,4,3,7
201,"[8, 8, 8, 9, 1]",0.5,0,8,8,8,9,1
202,"[6, 8, 10, 7, 9]",4.5,8,6,8,10,7,9
203,"[6, 6, 8, 1, 10]",5.0,10,6,6,8,1,10
204,"[2, 7, 9, 7, 2]",1.0,1,2,7,9,7,2
205,"[2, 5, 9, 10, 6]",3.0,5,2,5,9,10,6
206,"[8, 5, 8, 10, 6]",3.0,5,8,5,8,10,6
207,"[7, 1, 7, 6, 10]",5.0,10,7,1,7,6,10
208,"[5, 9, 5, 8, 5]",2.5,4,5,9,5,8,5
209,"[8, 3, 6, 10, 2]",1.0,1,8,3,6,10,2
210,"[2, 3, 1, 3, 2]",1.0,1,2,3,1,3,2
211,"[4, 4, 9, 5, 1]",0.5,0,4,4,9,5,1
212,"[8, 9, 10, 6, 8]",4.0,7,8,9,10,6,8
213,"[9, 2, 8, 1, 10]",5.0,10,9,2,8,1,10
214,"[6, 10, 6, 7, 1]",0.5,0,6,10,6,7,1
215,"[10, 5, 8, 4, 8]",4.0,7,10,5,8,4,8
216,"[8, 6, 4, 10, 4]",2.0,3,8,6,4,10,4
217,"[5, 5, 8, 8, 4]",2.0,3,5,5,8,8,4
218,"[8, 1, 4, 7, 6]",3.0,5,8,1,4,7,6
219,"[3, 9, 1, 4, 2]",1.0,1,3,9,1,4,2
220,"[2, 5, 7, 10, 9]",4.5,8,2,5,7,10,9
221,"[1, 4, 8, 8, 2]",1.0,1,1,4,8,8,2
222,"[1, 5, 2, 5, 5]",2.5,4,1,5,2,5,5
223,"[9, 4, 9, 2, 7]",3.5,6,9,4,9,2,7
224,"[4, 6, 1, 4, 5]",2.5,4,4,6,1,4,5
225,"[4, 10, 7, 8, 3]",1.5,2,4,10,7,8,3
226,"[7, 3, 6, 3, 7]",3.5,6,7,3,6,3,7
227,"[1, 5, 4, 2, 1]",0.5,0,1,5,4,2,1
228,"[6, 5, 10, 8, 8]",4.0,7,6,5,10,8,8
229,"[3, 3, 9, 2, 10]",5.0,10,3,3,9,2,10
230,"[5, 8, 10, 10, 6]",3.0,5,5,8,10,10,6
231,"[7, 7, 8, 7, 9]",4.5,8,7,7,8,7,9
232,"[8, 2, 1, 5, 5]",2.5,4,8,2,1,5,5
233,"[10, 9, 2, 6, 3]",1.5,2,10,9,2,6,3
234,"[2, 4, 6, 6, 2]",1.0,1,2,4,6,6,2
235,"[6, 1, 4, 6, 3]",1.5,2,6,1,4,6,3
236,"[3, 3, 7, 5, 9]",4.5,8,3,3,7,5,9
237,"[1, 5, 3, 10, 10]",5.0,10,1,5,3,10,10
238,"[5, 9, 1, 4, 3]",1.5,2,5,9,1,4,3
239,"[7, 10, 6, 6, 5]",2.5,4,7,10,6,6,5
240,"[2, 10, 8, 10, 6]",3.0,5,2,10,8,10,6
241,"[6, 1, 6, 10, 2]",1.0,1,6,1,6,10,2
242,"[8, 7, 9, 5, 10]",5.0,10,8,7,9,5,10
243,"[1, 7, 3, 4, 7]",3.5,6,1,7,3,4,7
244,"[2, 5, 6, 4, 5]",2.5,4,2,5,6,4,5
245,"[2, 7, 5, 5, 4]",2.0,3,2,7,5,5,4
246,"[1, 1, 1, 8, 5]",2.5,4,1,1,1,8,5
247,"[7, 1, 1, 7, 5]",2.5,4,7,1,1,7,5
248,"[6, 10, 6, 4, 3]",1.5,2,6,10,6,4,3
249,"[3, 3, 5, 3, 9]",4.5,8,3,3,5,3,9
250,"[6, 9, 7, 1, 4]",2.0,3,6,9,7,1,4
251,"[10, 8, 5, 10, 2]",1.0,1,10,8,5,10,2
252,"[5, 9, 7, 4, 3]",1.5,2,5,9,7,4,3
253,"[1, 5, 3, 1, 8]",4.0,7,1,5,3,1,8
254,"[6, 2, 7, 9, 1]",0.5,0,6,2,7,9,1
255,"[10, 8, 1, 7, 3]",1.5,2,10,8,1,7,3
256,"[7, 3, 10, 10, 8]",4.0,7,7,3,10,10,8
257,"[9, 4, 4, 1, 4]",2.0,3,9,4,4,1,4
258,"[9, 7, 2, 8, 7]",3.5,6,9,7,2,8,7
259,"[9, 2, 2, 7, 4]",2.0,3,9,2,2,7,4
260,"[10, 5, 8, 5, 3]",1.5,2,10,5,8,5,3
261,"[5, 10, 1, 2, 5]",2.5,4,5,10,1,2,5
262,"[2, 9, 9, 2, 9]",4.5,8,2,9,9,2,9
263,"[10, 1, 2, 8, 7]",3.5,6,10,1,2,8,7
264,"[2, 8, 9, 7, 10]",5.0,10,2,8,9,7,10
265,"[3, 9, 3, 7, 4]",2.0,3,3,9,3,7,4
266,"[2, 7, 6, 1, 3]",1.5,2,2,7,6,1,3
267,"[8, 9, 7, 6, 6]",3.0,5,8,9,7,6,6
268,"[5, 5, 1, 6, 7]",3.5,6,5,5,1,6,7
269,"[8, 2, 9, 6, 3]",1.5,2,8,2,9,6,3
270,"[9, 8, 8, 10, 1]",0.5,0,9,8,8,10,1
271,"[4, 7, 5, 3, 8]",4.0,7,4,7,5,3,8
272,"[3, 10, 1, 3, 10]",5.0,10,3,10,1,3,10
273,"[2, 4, 5, 4, 4]",2.0,3,2,4,5,4,4
274,"[2, 8, 2, 10, 3]",1.5,2,2,8,2,10,3
275,"[10, 7, 5, 7, 1]",0.5,0,10,7,5,7,1
276,"[3, 3, 4, 10, 4]",2.0,3,3,3,4,10,4
277,"[4, 8, 8, 3, 10]",5.0,10,4,8,8,3,10
278,"[10, 9, 5, 5, 4]",2.0,3,10,9,5,5,4
279,"[8, 3, 5, 4, 6]",3.0,5,8,3,5,4,6
280,"[3, 2, 2, 4, 1]",0.5,0,3,2,2,4,1
281,"[6, 5, 8, 6, 2]",1.0,1,6,5,8,6,2
282,"[5, 4, 5, 10, 2]",1.0,1,5,4,5,10,2
283,"[10, 5, 9, 2, 4]",2.0,3,10,5,9,2,4
284,"[3, 3, 5, 3, 2]",1.0,1,3,3,5,3,2
285,"[9, 6, 3, 6, 10]",5.0,10,9,6,3,6,10
286,"[7, 10, 6, 10, 5]",2.5,4,7,10,6,10,5
287,"[2, 1, 2, 8, 8]",4.0,7,2,1,2,8,8
288,"[5, 6, 6, 2, 1]",0.5,0,5,6,6,2,1
289,"[3, 9, 5, 1, 4]",2.0,3,3,9,5,1,4
290,"[5, 4, 7, 3, 5]",2.5,4,5,4,7,3,5
291,"[8, 1, 1, 1, 6]",3.0,5,8,1,1,1,6
292,"[4, 8, 6, 4, 7]",3.5,6,4,8,6,4,7
293,"[5, 10, 9, 2, 9]",4.5,8,5,10,9,2,9
294,"[8, 3, 5, 2, 8]",4.0,7,8,3,5,2,8
295,"[2, 2, 7, 5, 5]",2.5,4,2,2,7,5,5
296,"[9, 7, 2, 5, 9]",4.5,8,9,7,2,5,9
297,"[3, 1, 10, 3, 8]",4.0,7,3,1,10,3,8
298,"[6, 10, 5, 6, 3]",1.5,2,6,10,5,6,3
299,"[8, 7, 3, 8, 4]",2.0,3,8,7,3,8,4
300,"[1, 9, 6, 6, 4]",2.0,3,1,9,6,6,4
301,"[7, 1, 4, 5, 10]",5.0,10,7,1,4,5,10
302,"[2, 5, 5, 9, 4]",2.0,3,2,5,5,9,4
303,"[6, 2, 10, 1, 8]",4.0,7,6,2,10,1,8
304,"[1, 4, 5, 8, 6]",3.0,5,1,4,5,8,6
305,"[4, 4, 10, 5, 8]",4.0,7,4,4,10,5,8
306,"[5, 6, 2, 10, 9]",4.5,8,5,6,2,10,9
307,"[8, 1, 10, 6, 1]",0.5,0,8,1,10,6,1
308,"[2, 8, 9, 10, 5]",2.5,4,2,8,9,10,5
309,"[5, 2, 4, 1, 3]",1.5,2,5,2,4,1,3
310,"[6, 7, 7, 3, 4]",2.0,3,6,7,7,3,4
311,"[10, 2, 4, 9, 1]",0.5,0,10,2,4,9,1
312,"[7, 6, 1, 5, 2]",1.0,1,7,6,1,5,2
313,"[8, 2, 10, 10, 4]",2.0,3,8,2,10,10,4
314,"[6, 2, 6, 1, 7]",3.5,6,6,2,6,1,7
315,"[8, 5, 9, 2, 4]",2.0,3,8,5,9,2,4
316,"[10, 1, 2, 2, 3]",1.5,2,10,1,2,2,3
317,"[9, 4, 10, 7, 3]",1.5,2,9,4,10,7,3
318,"[1, 1, 4, 4, 1]",0.5,0,1,1,4,4,1
319,"[3, 2, 6, 9, 3]",1.5,2,3,2,6,9,3
320,"[2, 8, 4, 8, 9]",4.5,8,2,8,4,8,9
321,"[8, 7, 3, 8, 5]",2.5,4,8,7,3,8,5
322,"[7, 2, 1, 1, 3]",1.5,2,7,2,1,1,3
323,"[8, 7, 7, 1, 5]",2.5,4,8,7,7,1,5
324,"[4, 4, 1, 7, 6]",3.0,5,4,4,1,7,6
325,"[8, 3, 5, 6, 8]",4.0,7,8,3,5,6,8
326,"[7, 3, 8, 1, 6]",3.0,5,7,3,8,1,6
327,"[7, 6, 1, 2, 3]",1.5,2,7,6,1,2,3
328,"[8, 9, 5, 8, 10]",5.0,10,8,9,5,8,10
329,"[5, 10, 10, 2, 1]",0.5,0,5,10,10,2,1
330,"[6, 2, 4, 7, 5]",2.5,4,6,2,4,7,5
331,"[3, 2, 3, 4, 8]",4.0,7,3,2,3,4,8
332,"[2, 4, 9, 3, 10]",5.0,10,2,4,9,3,10
333,"[4, 8, 2, 6, 8]",4.0,7,4,8,2,6,8
334,"[3, 1, 8, 6, 5]",2.5,4,3,1,8,6,5
335,"[10, 2, 5, 7, 5]",2.5,4,10,2,5,7,5
336,"[1, 9, 3, 7, 3]",1.5,2,1,9,3,7,3
337,"[1, 2, 3, 6, 1]",0.5,0,1,2,3,6,1
338,"[3, 5, 4, 4, 5]",2.5,4,3,5,4,4,5
339,"[2, 7, 7, 8, 2]",1.0,1,2,7,7,8,2
340,"[5, 2, 2, 3, 4]",2.0,3,5,2,2,3,4
341,"[10, 8, 1, 8, 8]",4.0,7,10,8,1,8,8
342,"[7, 3, 1, 2, 10]",5.0,10,7,3,1,2,10
343,"[10, 1, 6, 9, 4]",2.0,3,10,1,6,9,4
344,"[2, 1, 1, 2, 9]",4.5,8,2,1,1,2,9
345,"[1, 1, 6, 10, 6]",3.0,5,1,1,6,10,6
346,"[8, 9, 2, 9, 1]",0.5,0,8,9,2,9,1
347,"[6, 3, 10, 8, 10]",5.0,10,6,3,10,8,10
348,"[9, 9, 2, 4, 2]",1.0,1,9,9,2,4,2
349,"[9, 8, 1, 1, 2]",1.0,1,9,8,1,1,2
350,"[8, 2, 2, 7, 6]",3.0,5,8,2,2,7,6
351,"[1, 10, 6, 7, 10]",5.0,10,1,10,6,7,10
352,"[1, 2, 3, 4, 4]",2.0,3,1,2,3,4,4
353,"[6, 3, 1, 7, 3]",1.5,2,6,3,1,7,3
354,"[3, 1, 9, 3, 2]",1.0,1,3,1,9,3,2
355,"[9, 4, 1, 5, 3]",1.5,2,9,4,1,5,3
356,"[2, 8, 7, 6, 4]",2.0,3,2,8,7,6,4
357,"[2, 4, 8, 6, 3]",1.5,2,2,4,8,6,3
358,"[3, 9, 3, 8, 1]",0.5,0,3,9,3,8,1
359,"[10, 8, 8, 1, 5]",2.5,4,10,8,8,1,5
360,"[5, 5, 3, 8, 3]",1.5,2,5,5,3,8,3
361,"[1, 3, 5, 1, 7]",3.5,6,1,3,5,1,7
362,"[4, 5, 5, 6, 10]",5.0,10,4,5,5,6,10
363,"[5, 9, 8, 10, 10]",5.0,10,5,9,8,10,10
364,"[2, 1, 5, 9, 4]",2.0,3,2,1,5,9,4
365,"[3, 3, 3, 4, 3]",1.5,2,3,3,3,4,3
366,"[7, 4, 6, 6, 10]",5.0,10,7,4,6,6,10
367,"[5, 1, 5, 9, 2]",1.0,1,5,1,5,9,2
368,"[4, 7, 9, 9, 2]",1.0,1,4,7,9,9,2
369,"[8, 4, 6, 8, 8]",4.0,7,8,4,6,8,8
370,"[5, 10, 8, 10, 3]",1.5,2,5,10,8,10,3
371,"[9, 2, 7, 7, 1]",0.5,0,9,2,7,7,1
372,"[10, 9, 5, 9, 10]",5.0,10,10,9,5,9,10
373,"[7, 3, 8, 1, 4]",2.0,3,7,3,8,1,4
374,"[8, 4, 9, 10, 2]",1.0,1,8,4,9,10,2
375,"[10, 5, 5, 3, 9]",4.5,8,10,5,5,3,9
376,"[10, 8, 8, 9, 3]",1.5,2,10,8,8,9,3
377,"[2, 5, 6, 9, 2]",1.0,1,2,5,6,9,2
378,"[4, 7, 6, 8, 8]",4.0,7,4,7,6,8,8
379,"[1, 3, 7, 5, 6]",3.0,5,1,3,7,5,6
380,"[3, 1, 8, 7, 7]",3.5,6,3,1,8,7,7
381,"[6, 7, 6, 2, 6]",3.0,5,6,7,6,2,6
382,"[3, 2, 1, 2, 10]",5.0,10,3,2,1,2,10
383,"[8, 6, 9, 3, 1]",0.5,0,8,6,9,3,1
384,"[10, 1, 9, 4, 6]",3.0,5,10,1,9,4,6
385,"[3, 9, 7, 1, 3]",1.5,2,3,9,7,1,3
386,"[10, 5, 8, 7, 9]",4.5,8,10,5,8,7,9
387,"[5, 5, 5, 5, 7]",3.5,6,5,5,5,5,7
388,"[2, 8, 4, 5, 8]",4.0,7,2,8,4,5,8
389,"[2, 7, 4, 9, 1]",0.5,0,2,7,4,9,1
390,"[6, 3, 1, 2, 3]",1.5,2,6,3,1,2,3
391,"[3, 8, 5, 1, 7]",3.5,6,3,8,5,1,7
392,"[8, 8, 5, 2, 9]",4.5,8,8,8,5,2,9
393,"[2, 9, 10, 1, 5]",2.5,4,2,9,10,1,5
394,"[6, 5, 5, 8, 10]",5.0,10,6,5,5,8,10
395,"[7, 10, 2, 6, 5]",2.5,4,7,10,2,6,5
396,"[4, 3, 1, 5, 3]",1.5,2,4,3,1,5,3
