,Layers,Units,Activation,Optimizer,Learning Rate,Accuracy
58,1,128,sigmoid,Adadelta,0.1,0
59,1,128,sigmoid,Adadelta,1.0,0
60,1,128,sigmoid,Adamax,0.0001,0
61,1,128,sigmoid,Adamax,0.001,0
62,1,128,sigmoid,Adamax,0.01,0
63,1,128,sigmoid,Adamax,0.1,0
64,1,128,sigmoid,Adamax,1.0,0
65,1,128,sigmoid,Adagrad,0.0001,0
66,1,128,sigmoid,Adagrad,0.001,0
67,1,128,sigmoid,Adagrad,0.01,0
68,1,128,sigmoid,Adagrad,0.1,0
69,1,128,sigmoid,Adagrad,1.0,0
70,1,128,sigmoid,Nadam,0.0001,0
71,1,128,sigmoid,Nadam,0.001,0
72,1,128,sigmoid,Nadam,0.01,0
73,1,128,sigmoid,Nadam,0.1,0
74,1,128,sigmoid,Nadam,1.0,0
75,1,128,sigmoid,Ftrl,0.0001,0
76,1,128,sigmoid,Ftrl,0.001,0
77,1,128,sigmoid,Ftrl,0.01,0
78,1,128,sigmoid,Ftrl,0.1,0
79,1,128,sigmoid,Ftrl,1.0,0
80,1,128,softmax,SGD,0.0001,0
81,1,128,softmax,SGD,0.001,0
82,1,128,softmax,SGD,0.01,0
83,1,128,softmax,SGD,0.1,0
84,1,128,softmax,SGD,1.0,0
85,1,128,softmax,RMSprop,0.0001,0
86,1,128,softmax,RMSprop,0.001,0
87,1,128,softmax,RMSprop,0.01,0
88,1,128,softmax,RMSprop,0.1,0
89,1,128,softmax,RMSprop,1.0,0
90,1,128,softmax,Adam,0.0001,0
91,1,128,softmax,Adam,0.001,0
92,1,128,softmax,Adam,0.01,0
93,1,128,softmax,Adam,0.1,0
94,1,128,softmax,Adam,1.0,0
95,1,128,softmax,Adadelta,0.0001,0
96,1,128,softmax,Adadelta,0.001,0
97,1,128,softmax,Adadelta,0.01,0
98,1,128,softmax,Adadelta,0.1,0
99,1,128,softmax,Adadelta,1.0,0
100,1,128,softmax,Adamax,0.0001,0
101,1,128,softmax,Adamax,0.001,0
102,1,128,softmax,Adamax,0.01,0
103,1,128,softmax,Adamax,0.1,0
104,1,128,softmax,Adamax,1.0,0
105,1,128,softmax,Adagrad,0.0001,0
106,1,128,softmax,Adagrad,0.001,0
107,1,128,softmax,Adagrad,0.01,0
108,1,128,softmax,Adagrad,0.1,0
109,1,128,softmax,Adagrad,1.0,0
110,1,128,softmax,Nadam,0.0001,0
111,1,128,softmax,Nadam,0.001,0
112,1,128,softmax,Nadam,0.01,0
113,1,128,softmax,Nadam,0.1,0
114,1,128,softmax,Nadam,1.0,0
115,1,128,softmax,Ftrl,0.0001,0
116,1,128,softmax,Ftrl,0.001,0
117,1,128,softmax,Ftrl,0.01,0
118,1,128,softmax,Ftrl,0.1,0
119,1,128,softmax,Ftrl,1.0,0
120,1,128,softplus,SGD,0.0001,0
121,1,128,softplus,SGD,0.001,0
122,1,128,softplus,SGD,0.01,0
123,1,128,softplus,SGD,0.1,0
124,1,128,softplus,SGD,1.0,0
125,1,128,softplus,RMSprop,0.0001,0
126,1,128,softplus,RMSprop,0.001,0
127,1,128,softplus,RMSprop,0.01,0
128,1,128,softplus,RMSprop,0.1,0
129,1,128,softplus,RMSprop,1.0,0
130,1,128,softplus,Adam,0.0001,0
131,1,128,softplus,Adam,0.001,0
132,1,128,softplus,Adam,0.01,0
133,1,128,softplus,Adam,0.1,0
134,1,128,softplus,Adam,1.0,0
135,1,128,softplus,Adadelta,0.0001,0
136,1,128,softplus,Adadelta,0.001,0
137,1,128,softplus,Adadelta,0.01,0
138,1,128,softplus,Adadelta,0.1,0
139,1,128,softplus,Adadelta,1.0,0
140,1,128,softplus,Adamax,0.0001,0
141,1,128,softplus,Adamax,0.001,0
142,1,128,softplus,Adamax,0.01,0
143,1,128,softplus,Adamax,0.1,0
144,1,128,softplus,Adamax,1.0,0
145,1,128,softplus,Adagrad,0.0001,0
146,1,128,softplus,Adagrad,0.001,0
147,1,128,softplus,Adagrad,0.01,0
148,1,128,softplus,Adagrad,0.1,0
149,1,128,softplus,Adagrad,1.0,0
150,1,128,softplus,Nadam,0.0001,0
151,1,128,softplus,Nadam,0.001,0
152,1,128,softplus,Nadam,0.01,0
153,1,128,softplus,Nadam,0.1,0
154,1,128,softplus,Nadam,1.0,0
155,1,128,softplus,Ftrl,0.0001,0
156,1,128,softplus,Ftrl,0.001,0
157,1,128,softplus,Ftrl,0.01,0
158,1,128,softplus,Ftrl,0.1,0
159,1,128,softplus,Ftrl,1.0,0
160,1,128,softsign,SGD,0.0001,0
161,1,128,softsign,SGD,0.001,0
162,1,128,softsign,SGD,0.01,0
163,1,128,softsign,SGD,0.1,0
164,1,128,softsign,SGD,1.0,0
165,1,128,softsign,RMSprop,0.0001,0
166,1,128,softsign,RMSprop,0.001,0
167,1,128,softsign,RMSprop,0.01,0
168,1,128,softsign,RMSprop,0.1,0
169,1,128,softsign,RMSprop,1.0,0
170,1,128,softsign,Adam,0.0001,0
171,1,128,softsign,Adam,0.001,0
172,1,128,softsign,Adam,0.01,0
173,1,128,softsign,Adam,0.1,0
174,1,128,softsign,Adam,1.0,0
175,1,128,softsign,Adadelta,0.0001,0
176,1,128,softsign,Adadelta,0.001,0
177,1,128,softsign,Adadelta,0.01,0
178,1,128,softsign,Adadelta,0.1,0
179,1,128,softsign,Adadelta,1.0,0
180,1,128,softsign,Adamax,0.0001,0
181,1,128,softsign,Adamax,0.001,0
182,1,128,softsign,Adamax,0.01,0
183,1,128,softsign,Adamax,0.1,0
184,1,128,softsign,Adamax,1.0,0
185,1,128,softsign,Adagrad,0.0001,0
186,1,128,softsign,Adagrad,0.001,0
187,1,128,softsign,Adagrad,0.01,0
188,1,128,softsign,Adagrad,0.1,0
189,1,128,softsign,Adagrad,1.0,0
190,1,128,softsign,Nadam,0.0001,0
191,1,128,softsign,Nadam,0.001,0
192,1,128,softsign,Nadam,0.01,0
193,1,128,softsign,Nadam,0.1,0
194,1,128,softsign,Nadam,1.0,0
195,1,128,softsign,Ftrl,0.0001,0
196,1,128,softsign,Ftrl,0.001,0
197,1,128,softsign,Ftrl,0.01,0
198,1,128,softsign,Ftrl,0.1,0
199,1,128,softsign,Ftrl,1.0,0
200,1,128,tanh,SGD,0.0001,0
201,1,128,tanh,SGD,0.001,0
202,1,128,tanh,SGD,0.01,0
203,1,128,tanh,SGD,0.1,0
204,1,128,tanh,SGD,1.0,0
205,1,128,tanh,RMSprop,0.0001,0
206,1,128,tanh,RMSprop,0.001,0
207,1,128,tanh,RMSprop,0.01,0
208,1,128,tanh,RMSprop,0.1,0
209,1,128,tanh,RMSprop,1.0,0
210,1,128,tanh,Adam,0.0001,0
211,1,128,tanh,Adam,0.001,0
212,1,128,tanh,Adam,0.01,0
213,1,128,tanh,Adam,0.1,0
214,1,128,tanh,Adam,1.0,0
215,1,128,tanh,Adadelta,0.0001,0
216,1,128,tanh,Adadelta,0.001,0
217,1,128,tanh,Adadelta,0.01,0
218,1,128,tanh,Adadelta,0.1,0
219,1,128,tanh,Adadelta,1.0,0
220,1,128,tanh,Adamax,0.0001,0
221,1,128,tanh,Adamax,0.001,0
222,1,128,tanh,Adamax,0.01,0
223,1,128,tanh,Adamax,0.1,0
224,1,128,tanh,Adamax,1.0,0
225,1,128,tanh,Adagrad,0.0001,0
226,1,128,tanh,Adagrad,0.001,0
227,1,128,tanh,Adagrad,0.01,0
228,1,128,tanh,Adagrad,0.1,0
229,1,128,tanh,Adagrad,1.0,0
230,1,128,tanh,Nadam,0.0001,0
231,1,128,tanh,Nadam,0.001,0
232,1,128,tanh,Nadam,0.01,0
233,1,128,tanh,Nadam,0.1,0
234,1,128,tanh,Nadam,1.0,0
235,1,128,tanh,Ftrl,0.0001,0
236,1,128,tanh,Ftrl,0.001,0
237,1,128,tanh,Ftrl,0.01,0
238,1,128,tanh,Ftrl,0.1,0
239,1,128,tanh,Ftrl,1.0,0
240,1,128,elu,SGD,0.0001,0
241,1,128,elu,SGD,0.001,0
242,1,128,elu,SGD,0.01,0
243,1,128,elu,SGD,0.1,0
244,1,128,elu,SGD,1.0,0
245,1,128,elu,RMSprop,0.0001,0
246,1,128,elu,RMSprop,0.001,0
247,1,128,elu,RMSprop,0.01,0
248,1,128,elu,RMSprop,0.1,0
249,1,128,elu,RMSprop,1.0,0
250,1,128,elu,Adam,0.0001,0
251,1,128,elu,Adam,0.001,0
252,1,128,elu,Adam,0.01,0
253,1,128,elu,Adam,0.1,0
254,1,128,elu,Adam,1.0,0
255,1,128,elu,Adadelta,0.0001,0
256,1,128,elu,Adadelta,0.001,0
257,1,128,elu,Adadelta,0.01,0
258,1,128,elu,Adadelta,0.1,0
259,1,128,elu,Adadelta,1.0,0
260,1,128,elu,Adamax,0.0001,0
261,1,128,elu,Adamax,0.001,0
262,1,128,elu,Adamax,0.01,0
263,1,128,elu,Adamax,0.1,0
264,1,128,elu,Adamax,1.0,0
265,1,128,elu,Adagrad,0.0001,0
266,1,128,elu,Adagrad,0.001,0
267,1,128,elu,Adagrad,0.01,0
268,1,128,elu,Adagrad,0.1,0
269,1,128,elu,Adagrad,1.0,0
270,1,128,elu,Nadam,0.0001,0
271,1,128,elu,Nadam,0.001,0
272,1,128,elu,Nadam,0.01,0
273,1,128,elu,Nadam,0.1,0
274,1,128,elu,Nadam,1.0,0
275,1,128,elu,Ftrl,0.0001,0
276,1,128,elu,Ftrl,0.001,0
277,1,128,elu,Ftrl,0.01,0
278,1,128,elu,Ftrl,0.1,0
279,1,128,elu,Ftrl,1.0,0
280,1,128,selu,SGD,0.0001,0
281,1,128,selu,SGD,0.001,0
282,1,128,selu,SGD,0.01,0
283,1,128,selu,SGD,0.1,0
284,1,128,selu,SGD,1.0,0
285,1,128,selu,RMSprop,0.0001,0
286,1,128,selu,RMSprop,0.001,0
287,1,128,selu,RMSprop,0.01,0
288,1,128,selu,RMSprop,0.1,0
289,1,128,selu,RMSprop,1.0,0
290,1,128,selu,Adam,0.0001,0
291,1,128,selu,Adam,0.001,0
292,1,128,selu,Adam,0.01,0
293,1,128,selu,Adam,0.1,0
294,1,128,selu,Adam,1.0,0
295,1,128,selu,Adadelta,0.0001,0
296,1,128,selu,Adadelta,0.001,0
297,1,128,selu,Adadelta,0.01,0
298,1,128,selu,Adadelta,0.1,0
299,1,128,selu,Adadelta,1.0,0
300,1,128,selu,Adamax,0.0001,0
301,1,128,selu,Adamax,0.001,0
302,1,128,selu,Adamax,0.01,0
303,1,128,selu,Adamax,0.1,0
304,1,128,selu,Adamax,1.0,0
305,1,128,selu,Adagrad,0.0001,0
306,1,128,selu,Adagrad,0.001,0
307,1,128,selu,Adagrad,0.01,0
308,1,128,selu,Adagrad,0.1,0
309,1,128,selu,Adagrad,1.0,0
310,1,128,selu,Nadam,0.0001,0
311,1,128,selu,Nadam,0.001,0
312,1,128,selu,Nadam,0.01,0
313,1,128,selu,Nadam,0.1,0
314,1,128,selu,Nadam,1.0,0
315,1,128,selu,Ftrl,0.0001,0
316,1,128,selu,Ftrl,0.001,0
317,1,128,selu,Ftrl,0.01,0
318,1,128,selu,Ftrl,0.1,0
319,1,128,selu,Ftrl,1.0,0
320,1,128,exponential,SGD,0.0001,0
321,1,128,exponential,SGD,0.001,0
322,1,128,exponential,SGD,0.01,0
323,1,128,exponential,SGD,0.1,0
324,1,128,exponential,SGD,1.0,0
325,1,128,exponential,RMSprop,0.0001,0
326,1,128,exponential,RMSprop,0.001,0
327,1,128,exponential,RMSprop,0.01,0
328,1,128,exponential,RMSprop,0.1,0
329,1,128,exponential,RMSprop,1.0,0
330,1,128,exponential,Adam,0.0001,0
331,1,128,exponential,Adam,0.001,0
332,1,128,exponential,Adam,0.01,0
333,1,128,exponential,Adam,0.1,0
334,1,128,exponential,Adam,1.0,0
335,1,128,exponential,Adadelta,0.0001,0
336,1,128,exponential,Adadelta,0.001,0
337,1,128,exponential,Adadelta,0.01,0
338,1,128,exponential,Adadelta,0.1,0
339,1,128,exponential,Adadelta,1.0,0
340,1,128,exponential,Adamax,0.0001,0
341,1,128,exponential,Adamax,0.001,0
342,1,128,exponential,Adamax,0.01,0
343,1,128,exponential,Adamax,0.1,0
344,1,128,exponential,Adamax,1.0,0
345,1,128,exponential,Adagrad,0.0001,0
346,1,128,exponential,Adagrad,0.001,0
347,1,128,exponential,Adagrad,0.01,0
348,1,128,exponential,Adagrad,0.1,0
349,1,128,exponential,Adagrad,1.0,0
350,1,128,exponential,Nadam,0.0001,0
351,1,128,exponential,Nadam,0.001,0
352,1,128,exponential,Nadam,0.01,0
353,1,128,exponential,Nadam,0.1,0
354,1,128,exponential,Nadam,1.0,0
355,1,128,exponential,Ftrl,0.0001,0
356,1,128,exponential,Ftrl,0.001,0
357,1,128,exponential,Ftrl,0.01,0
358,1,128,exponential,Ftrl,0.1,0
359,1,128,exponential,Ftrl,1.0,0
360,1,256,relu,SGD,0.0001,0
361,1,256,relu,SGD,0.001,0
362,1,256,relu,SGD,0.01,0
363,1,256,relu,SGD,0.1,0
364,1,256,relu,SGD,1.0,0
365,1,256,relu,RMSprop,0.0001,0
366,1,256,relu,RMSprop,0.001,0
367,1,256,relu,RMSprop,0.01,0
368,1,256,relu,RMSprop,0.1,0
369,1,256,relu,RMSprop,1.0,0
370,1,256,relu,Adam,0.0001,0
371,1,256,relu,Adam,0.001,0
372,1,256,relu,Adam,0.01,0
373,1,256,relu,Adam,0.1,0
374,1,256,relu,Adam,1.0,0
375,1,256,relu,Adadelta,0.0001,0
376,1,256,relu,Adadelta,0.001,0
377,1,256,relu,Adadelta,0.01,0
378,1,256,relu,Adadelta,0.1,0
379,1,256,relu,Adadelta,1.0,0
380,1,256,relu,Adamax,0.0001,0
381,1,256,relu,Adamax,0.001,0
382,1,256,relu,Adamax,0.01,0
383,1,256,relu,Adamax,0.1,0
384,1,256,relu,Adamax,1.0,0
385,1,256,relu,Adagrad,0.0001,0
386,1,256,relu,Adagrad,0.001,0
387,1,256,relu,Adagrad,0.01,0
388,1,256,relu,Adagrad,0.1,0
389,1,256,relu,Adagrad,1.0,0
390,1,256,relu,Nadam,0.0001,0
391,1,256,relu,Nadam,0.001,0
392,1,256,relu,Nadam,0.01,0
393,1,256,relu,Nadam,0.1,0
394,1,256,relu,Nadam,1.0,0
395,1,256,relu,Ftrl,0.0001,0
396,1,256,relu,Ftrl,0.001,0
397,1,256,relu,Ftrl,0.01,0
398,1,256,relu,Ftrl,0.1,0
399,1,256,relu,Ftrl,1.0,0
400,1,256,sigmoid,SGD,0.0001,0
401,1,256,sigmoid,SGD,0.001,0
402,1,256,sigmoid,SGD,0.01,0
403,1,256,sigmoid,SGD,0.1,0
404,1,256,sigmoid,SGD,1.0,0
405,1,256,sigmoid,RMSprop,0.0001,0
406,1,256,sigmoid,RMSprop,0.001,0
407,1,256,sigmoid,RMSprop,0.01,0
408,1,256,sigmoid,RMSprop,0.1,0
409,1,256,sigmoid,RMSprop,1.0,0
410,1,256,sigmoid,Adam,0.0001,0
411,1,256,sigmoid,Adam,0.001,0
412,1,256,sigmoid,Adam,0.01,0
413,1,256,sigmoid,Adam,0.1,0
414,1,256,sigmoid,Adam,1.0,0
415,1,256,sigmoid,Adadelta,0.0001,0
416,1,256,sigmoid,Adadelta,0.001,0
417,1,256,sigmoid,Adadelta,0.01,0
418,1,256,sigmoid,Adadelta,0.1,0
419,1,256,sigmoid,Adadelta,1.0,0
420,1,256,sigmoid,Adamax,0.0001,0
421,1,256,sigmoid,Adamax,0.001,0
422,1,256,sigmoid,Adamax,0.01,0
423,1,256,sigmoid,Adamax,0.1,0
424,1,256,sigmoid,Adamax,1.0,0
425,1,256,sigmoid,Adagrad,0.0001,0
426,1,256,sigmoid,Adagrad,0.001,0
427,1,256,sigmoid,Adagrad,0.01,0
428,1,256,sigmoid,Adagrad,0.1,0
429,1,256,sigmoid,Adagrad,1.0,0
430,1,256,sigmoid,Nadam,0.0001,0
431,1,256,sigmoid,Nadam,0.001,0
432,1,256,sigmoid,Nadam,0.01,0
433,1,256,sigmoid,Nadam,0.1,0
434,1,256,sigmoid,Nadam,1.0,0
435,1,256,sigmoid,Ftrl,0.0001,0
436,1,256,sigmoid,Ftrl,0.001,0
437,1,256,sigmoid,Ftrl,0.01,0
438,1,256,sigmoid,Ftrl,0.1,0
439,1,256,sigmoid,Ftrl,1.0,0
440,1,256,softmax,SGD,0.0001,0
441,1,256,softmax,SGD,0.001,0
442,1,256,softmax,SGD,0.01,0
443,1,256,softmax,SGD,0.1,0
444,1,256,softmax,SGD,1.0,0
445,1,256,softmax,RMSprop,0.0001,0
446,1,256,softmax,RMSprop,0.001,0
447,1,256,softmax,RMSprop,0.01,0
448,1,256,softmax,RMSprop,0.1,0
449,1,256,softmax,RMSprop,1.0,0
450,1,256,softmax,Adam,0.0001,0
451,1,256,softmax,Adam,0.001,0
452,1,256,softmax,Adam,0.01,0
453,1,256,softmax,Adam,0.1,0
454,1,256,softmax,Adam,1.0,0
455,1,256,softmax,Adadelta,0.0001,0
456,1,256,softmax,Adadelta,0.001,0
457,1,256,softmax,Adadelta,0.01,0
458,1,256,softmax,Adadelta,0.1,0
459,1,256,softmax,Adadelta,1.0,0
460,1,256,softmax,Adamax,0.0001,0
461,1,256,softmax,Adamax,0.001,0
462,1,256,softmax,Adamax,0.01,0
463,1,256,softmax,Adamax,0.1,0
464,1,256,softmax,Adamax,1.0,0
465,1,256,softmax,Adagrad,0.0001,0
466,1,256,softmax,Adagrad,0.001,0
467,1,256,softmax,Adagrad,0.01,0
468,1,256,softmax,Adagrad,0.1,0
469,1,256,softmax,Adagrad,1.0,0
470,1,256,softmax,Nadam,0.0001,0
471,1,256,softmax,Nadam,0.001,0
472,1,256,softmax,Nadam,0.01,0
473,1,256,softmax,Nadam,0.1,0
474,1,256,softmax,Nadam,1.0,0
475,1,256,softmax,Ftrl,0.0001,0
476,1,256,softmax,Ftrl,0.001,0
477,1,256,softmax,Ftrl,0.01,0
478,1,256,softmax,Ftrl,0.1,0
479,1,256,softmax,Ftrl,1.0,0
480,1,256,softplus,SGD,0.0001,0
481,1,256,softplus,SGD,0.001,0
482,1,256,softplus,SGD,0.01,0
483,1,256,softplus,SGD,0.1,0
484,1,256,softplus,SGD,1.0,0
485,1,256,softplus,RMSprop,0.0001,0
486,1,256,softplus,RMSprop,0.001,0
487,1,256,softplus,RMSprop,0.01,0
488,1,256,softplus,RMSprop,0.1,0
489,1,256,softplus,RMSprop,1.0,0
490,1,256,softplus,Adam,0.0001,0
491,1,256,softplus,Adam,0.001,0
492,1,256,softplus,Adam,0.01,0
493,1,256,softplus,Adam,0.1,0
494,1,256,softplus,Adam,1.0,0
495,1,256,softplus,Adadelta,0.0001,0
496,1,256,softplus,Adadelta,0.001,0
497,1,256,softplus,Adadelta,0.01,0
498,1,256,softplus,Adadelta,0.1,0
499,1,256,softplus,Adadelta,1.0,0
500,1,256,softplus,Adamax,0.0001,0
501,1,256,softplus,Adamax,0.001,0
502,1,256,softplus,Adamax,0.01,0
503,1,256,softplus,Adamax,0.1,0
504,1,256,softplus,Adamax,1.0,0
505,1,256,softplus,Adagrad,0.0001,0
506,1,256,softplus,Adagrad,0.001,0
507,1,256,softplus,Adagrad,0.01,0
508,1,256,softplus,Adagrad,0.1,0
509,1,256,softplus,Adagrad,1.0,0
510,1,256,softplus,Nadam,0.0001,0
511,1,256,softplus,Nadam,0.001,0
512,1,256,softplus,Nadam,0.01,0
513,1,256,softplus,Nadam,0.1,0
514,1,256,softplus,Nadam,1.0,0
515,1,256,softplus,Ftrl,0.0001,0
516,1,256,softplus,Ftrl,0.001,0
517,1,256,softplus,Ftrl,0.01,0
518,1,256,softplus,Ftrl,0.1,0
519,1,256,softplus,Ftrl,1.0,0
520,1,256,softsign,SGD,0.0001,0
521,1,256,softsign,SGD,0.001,0
522,1,256,softsign,SGD,0.01,0
523,1,256,softsign,SGD,0.1,0
524,1,256,softsign,SGD,1.0,0
525,1,256,softsign,RMSprop,0.0001,0
526,1,256,softsign,RMSprop,0.001,0
527,1,256,softsign,RMSprop,0.01,0
528,1,256,softsign,RMSprop,0.1,0
529,1,256,softsign,RMSprop,1.0,0
530,1,256,softsign,Adam,0.0001,0
531,1,256,softsign,Adam,0.001,0
532,1,256,softsign,Adam,0.01,0
533,1,256,softsign,Adam,0.1,0
534,1,256,softsign,Adam,1.0,0
535,1,256,softsign,Adadelta,0.0001,0
536,1,256,softsign,Adadelta,0.001,0
537,1,256,softsign,Adadelta,0.01,0
538,1,256,softsign,Adadelta,0.1,0
539,1,256,softsign,Adadelta,1.0,0
540,1,256,softsign,Adamax,0.0001,0
541,1,256,softsign,Adamax,0.001,0
542,1,256,softsign,Adamax,0.01,0
543,1,256,softsign,Adamax,0.1,0
544,1,256,softsign,Adamax,1.0,0
545,1,256,softsign,Adagrad,0.0001,0
546,1,256,softsign,Adagrad,0.001,0
547,1,256,softsign,Adagrad,0.01,0
548,1,256,softsign,Adagrad,0.1,0
549,1,256,softsign,Adagrad,1.0,0
550,1,256,softsign,Nadam,0.0001,0
551,1,256,softsign,Nadam,0.001,0
552,1,256,softsign,Nadam,0.01,0
553,1,256,softsign,Nadam,0.1,0
554,1,256,softsign,Nadam,1.0,0
555,1,256,softsign,Ftrl,0.0001,0
556,1,256,softsign,Ftrl,0.001,0
557,1,256,softsign,Ftrl,0.01,0
558,1,256,softsign,Ftrl,0.1,0
559,1,256,softsign,Ftrl,1.0,0
560,1,256,tanh,SGD,0.0001,0
561,1,256,tanh,SGD,0.001,0
562,1,256,tanh,SGD,0.01,0
563,1,256,tanh,SGD,0.1,0
564,1,256,tanh,SGD,1.0,0
565,1,256,tanh,RMSprop,0.0001,0
566,1,256,tanh,RMSprop,0.001,0
567,1,256,tanh,RMSprop,0.01,0
568,1,256,tanh,RMSprop,0.1,0
569,1,256,tanh,RMSprop,1.0,0
570,1,256,tanh,Adam,0.0001,0
571,1,256,tanh,Adam,0.001,0
572,1,256,tanh,Adam,0.01,0
573,1,256,tanh,Adam,0.1,0
574,1,256,tanh,Adam,1.0,0
575,1,256,tanh,Adadelta,0.0001,0
576,1,256,tanh,Adadelta,0.001,0
577,1,256,tanh,Adadelta,0.01,0
578,1,256,tanh,Adadelta,0.1,0
579,1,256,tanh,Adadelta,1.0,0
580,1,256,tanh,Adamax,0.0001,0
581,1,256,tanh,Adamax,0.001,0
582,1,256,tanh,Adamax,0.01,0
583,1,256,tanh,Adamax,0.1,0
584,1,256,tanh,Adamax,1.0,0
585,1,256,tanh,Adagrad,0.0001,0
586,1,256,tanh,Adagrad,0.001,0
587,1,256,tanh,Adagrad,0.01,0
588,1,256,tanh,Adagrad,0.1,0
589,1,256,tanh,Adagrad,1.0,0
590,1,256,tanh,Nadam,0.0001,0
591,1,256,tanh,Nadam,0.001,0
592,1,256,tanh,Nadam,0.01,0
593,1,256,tanh,Nadam,0.1,0
594,1,256,tanh,Nadam,1.0,0
595,1,256,tanh,Ftrl,0.0001,0
596,1,256,tanh,Ftrl,0.001,0
597,1,256,tanh,Ftrl,0.01,0
598,1,256,tanh,Ftrl,0.1,0
599,1,256,tanh,Ftrl,1.0,0
600,1,256,elu,SGD,0.0001,0
601,1,256,elu,SGD,0.001,0
602,1,256,elu,SGD,0.01,0
603,1,256,elu,SGD,0.1,0
604,1,256,elu,SGD,1.0,0
605,1,256,elu,RMSprop,0.0001,0
606,1,256,elu,RMSprop,0.001,0
607,1,256,elu,RMSprop,0.01,0
608,1,256,elu,RMSprop,0.1,0
609,1,256,elu,RMSprop,1.0,0
610,1,256,elu,Adam,0.0001,0
611,1,256,elu,Adam,0.001,0
612,1,256,elu,Adam,0.01,0
613,1,256,elu,Adam,0.1,0
614,1,256,elu,Adam,1.0,0
615,1,256,elu,Adadelta,0.0001,0
616,1,256,elu,Adadelta,0.001,0
617,1,256,elu,Adadelta,0.01,0
618,1,256,elu,Adadelta,0.1,0
619,1,256,elu,Adadelta,1.0,0
620,1,256,elu,Adamax,0.0001,0
621,1,256,elu,Adamax,0.001,0
622,1,256,elu,Adamax,0.01,0
623,1,256,elu,Adamax,0.1,0
624,1,256,elu,Adamax,1.0,0
625,1,256,elu,Adagrad,0.0001,0
626,1,256,elu,Adagrad,0.001,0
627,1,256,elu,Adagrad,0.01,0
628,1,256,elu,Adagrad,0.1,0
629,1,256,elu,Adagrad,1.0,0
630,1,256,elu,Nadam,0.0001,0
631,1,256,elu,Nadam,0.001,0
632,1,256,elu,Nadam,0.01,0
633,1,256,elu,Nadam,0.1,0
634,1,256,elu,Nadam,1.0,0
635,1,256,elu,Ftrl,0.0001,0
636,1,256,elu,Ftrl,0.001,0
637,1,256,elu,Ftrl,0.01,0
638,1,256,elu,Ftrl,0.1,0
639,1,256,elu,Ftrl,1.0,0
640,1,256,selu,SGD,0.0001,0
641,1,256,selu,SGD,0.001,0
642,1,256,selu,SGD,0.01,0
643,1,256,selu,SGD,0.1,0
644,1,256,selu,SGD,1.0,0
645,1,256,selu,RMSprop,0.0001,0
646,1,256,selu,RMSprop,0.001,0
647,1,256,selu,RMSprop,0.01,0
648,1,256,selu,RMSprop,0.1,0
649,1,256,selu,RMSprop,1.0,0
650,1,256,selu,Adam,0.0001,0
651,1,256,selu,Adam,0.001,0
